"MUNCOD","MUNCODDV","SITUACAO","MUNSINP","MUNSIAFI","MUNNOME","MUNNOMEX","OBSERV","MUNSINON","MUNSINONDV","AMAZONIA","FRONTEIRA","CAPITAL","UFCOD","MESOCOD","MICROCOD","MSAUDCOD","RSAUDCOD","CSAUDCOD","RMETRCOD","AGLCOD","ANOINST","ANOEXT","SUCESSOR","LATITUDE","LONGITUDE","ALTITUDE","AREA"
"000000","0000000","IGNOR","00000","","Ignorado ou exterior","IGNORADO OU EXTERIOR","Ignorado",",      ,000001-009999",",       ,0000001-0099999","N","N","N","00","0000","00000","0000","0000","00000","0000","0000","","","","   0.00000","   0.00000","     0","       0.000"
"110000","1100000","IGNOR","26000","","MunicЎpio ignorado - RO","MUNICIPIO IGNORADO - RO","",",119999",",1199999","N","N","N","11","1100","11000","1100","1100","11000","1100","1100","","","","   0.00000","   0.00000","     0","       0.000"
"110001","1100015","ATIVO","26016","0033","Alta Floresta D'Oeste","ALTA FLORESTA D'OESTE","","","","S","S","N","11","1102","11006","1190","1102","11900","1190","1190","1986","",""," -11.92900"," -61.99600","   350","    7066.702"
"110002","1100023","ATIVO","26004","0007","Ariquemes","ARIQUEMES","","","","S","N","N","11","1102","11003","1190","1104","11900","1190","1190","1977","","","  -9.91300"," -63.04100","   142","    4426.558"
"110003","1100031","ATIVO","26020","0037","Cabixi","CABIXI","","","","S","S","N","11","1102","11008","1190","1103","11900","1190","1190","1989","",""," -13.49200"," -60.54500","   230","    1314.355"
"110004","1100049","ATIVO","26007","0009","Cacoal","CACOAL","","","","S","N","N","11","1102","11006","1190","1102","11900","1190","1190","1977","",""," -11.43800"," -61.44800","   200","    3792.638"
"110005","1100056","ATIVO","26014","0027","Cerejeiras","CEREJEIRAS","","","","S","S","N","11","1102","11008","1190","1103","11900","1190","1190","1983","",""," -13.18900"," -60.81200","   277","    2783.305"
"110006","1100064","ATIVO","26008","0023","Colorado do Oeste","COLORADO DO OESTE","","","","S","S","N","11","1102","11008","1190","1103","11900","1190","1190","1981","",""," -13.11700"," -60.54200","   460","    1451.058"
"110007","1100072","ATIVO","26030","0981","Corumbiara","CORUMBIARA","","","","S","S","N","11","1102","11008","1190","1103","11900","1190","1190","1993","",""," -12.96200"," -60.88700","   340","    3060.318"
"110008","1100080","ATIVO","26009","0021","Costa Marques","COSTA MARQUES","","","","S","S","N","11","1101","11002","1190","1101","11900","1190","1190","1981","",""," -12.44500"," -64.22700","   140","   12722.168"
"110009","1100098","ATIVO","26010","0025","EspigЖo D'Oeste","ESPIGAO D'OESTE","","","","S","N","N","11","1102","11006","1190","1102","11900","1190","1190","1981","",""," -11.52500"," -61.01300","   270","    4518.055"
"110010","1100106","ATIVO","26001","0001","Guajar -Mirim","GUAJARA-MIRIM","","","","S","S","N","11","1101","11002","1190","1104","11900","1190","1190","1943","",""," -10.78300"," -65.33900","   128","   24855.652"
"110011","1100114","ATIVO","26011","0015","Jaru","JARU","","","","S","N","N","11","1102","11004","1190","1101","11900","1190","1190","1981","",""," -10.43900"," -62.46600","   124","    2944.025"
"110012","1100122","ATIVO","26003","0005","Ji-Paran ","JI-PARANA","","","","S","N","N","11","1102","11004","1190","1101","11900","1190","1190","1977","",""," -10.88200"," -61.94400","   170","    6896.782"
"110013","1100130","ATIVO","26021","0039","Machadinho D'Oeste","MACHADINHO D'OESTE","","","","S","N","N","11","1102","11003","1190","1104","11900","1190","1190","1989","","","  -9.44400"," -61.98100","   102","    8509.274"
"110014","1100148","ATIVO","26019","0041","Nova Brasilѓndia D'Oeste","NOVA BRASILANDIA D'OESTE","","","","S","S","N","11","1102","11005","1190","1102","11900","1190","1190","1989","",""," -11.72500"," -62.33100","   320","    1155.353"
"110015","1100155","ATIVO","26012","0017","Ouro Preto do Oeste","OURO PRETO DO OESTE","","","","S","N","N","11","1102","11004","1190","1101","11900","1190","1190","1981","",""," -10.71600"," -62.24800","   280","    1970.151"
"110018","1100189","ATIVO","26005","0011","Pimenta Bueno","PIMENTA BUENO","","","","S","S","N","11","1102","11007","1190","1102","11900","1190","1190","1977","",""," -11.67300"," -61.19300","   195","    6241.072"
"110020","1100205","ATIVO","26002","0003","Porto Velho","PORTO VELHO","","","","S","S","S","11","1101","11001","1190","1104","11900","1190","1101","1943","","","  -8.76200"," -63.90400","    85","   34082.366"
"110025","1100254","ATIVO","26013","0019","Presidente M‚dici","PRESIDENTE MEDICI","","","","S","N","N","11","1102","11004","1190","1101","11900","1190","1190","1981","",""," -11.17600"," -61.90100","   185","    1758.461"
"110026","1100262","ATIVO","26036","0687","Rio Crespo","RIO CRESPO","","","","S","N","N","11","1102","11003","1190","1104","11900","1190","1190","1993","","","  -9.70500"," -62.90000","     0","    1717.648"
"110028","1100288","ATIVO","26015","0029","Rolim de Moura","ROLIM DE MOURA","","","","S","S","N","11","1102","11006","1190","1102","11900","1190","1190","1983","",""," -11.73300"," -61.77800","   290","    1457.885"
"110029","1100296","ATIVO","26018","0043","Santa Luzia D'Oeste","SANTA LUZIA D'OESTE","","","","S","S","N","11","1102","11006","1190","1102","11900","1190","1190","1986","",""," -11.90200"," -61.77900","   260","    1197.781"
