"CODIGO","DESCRICAO"
"639","ABALIZADOR (AREAS AGRICOLAS)"
"759","ABASTECEDOR DE ESPULAS"
"893","ABASTECEDOR DE FORNO (CERAMICA)"
"999","ABASTECEDOR DE LINHA DE PRODUCAO"
"739","ABASTECEDOR DE MAQUINAS (MAD. E PASTA PAPEL)"
"672","ABASTECEDOR DE OVOS (INCUBADEIRA)"
"998","ABASTECEDOR DE PECAS PARA FORNO"
"729","ABASTECEDOR DE PRENSA HIDRAULICA"
"999","ABASTECEDOR SEM ESPECIFICACAO"
"773","ABATEDOR (DE ANIMAIS)"
"644","ABELHEIRO"
"953","ABETUMADOR"
"781","ABRIDOR (FOLHAS DE FUMO)"
"802","ACABADOR DE CALCADOS"
"793","ACABADOR DE CHAPEUS"
"849","ACABADOR DE COFRES"
"725","ACABADOR DE MACHOS"
"811","ACABADOR DE MOVEIS (MADEIRA)"
"901","ACABADOR DE PECAS (BORRACHA)"
"892","ACABADOR DE PECAS (CERAMICA)"
"903","ACABADOR DE PECAS (PLASTICO)"
"820","ACABADOR DE PEDRAS"
"952","ACABADOR DE SUPERFICIES DE CONCRETO ARMADO"
"756","ACABADOR DE TECIDOS"
"993","ACABADOR SEM ESPECIFICACAO"
"734","ACETINADOR DE PAPEL"
"422","ACOMPANHADOR DE COMPRAS"
"540","ACOMPANHANTE"
"971","ACONDICIONADOR"
"490","ACOUGUEIRO"
"175","ACROBATA"
"079","ACUPUNTURISTA"
"152","ADAPTADOR DE PECAS TEATRAIS"
"162","ADERECISTA"
"600","ADMINISTRADOR AGRICOLA"
"243","ADMINISTRADOR COMERCIAL"
"500","ADMINISTRADOR DE CAMPING"
"241","ADMINISTRADOR DE CARGOS E SALARIOS"
"551","ADMINISTRADOR DE EDIFICIOS"
"240","ADMINISTRADOR DE EMPRESAS SERM ESPECIFICACAO"
"601","ADMINISTRADOR DE ENGORDA"
"600","ADMINISTRADOR DE EXPLORACAO PESQUEIRA"
"600","ADMINISTRADOR DE FAZENDA"
"241","ADMINISTRADOR DE IMOVEIS"
"241","ADMINISTRADOR DE ORQUESTRAS"
"241","ADMINISTRADOR DE PATRIMONIO"
"600","ADMINISTRADOR DE PECUARIA"
"241","ADMINISTRADOR DE PESSOAL"
"500","ADMINISTRADOR DE RESTAURANTE"
"243","ADMINISTRADOR DE VENDAS"
"600","ADMINISTRADOR FLORESTAL"
