"CODIGO","DESCRICAO"
"001","ABU DABI"
"002","ACORES"
"003","AFEGANISTAO"
"004","AFRICA DO SUL"
"005","AIMAN"
"006","ALBANIA"
"008","ALEMANHA"
"009","ANDORRA"
"010","ANGOLA"
"011","ANTILHAS HOLANDESAS"
"012","ANGUILLA"
"013","ANTIGUA"
"014","ARABIA SAUDITA"
"015","ARGELIA"
"016","ARGENTINA"
"017","ARMENIA"
"018","ARUBA"
"019","AUSTRALIA"
"020","AUSTRIA"
"021","AZERBAIDJAO"
"022","BAHAMAS"
"023","BAHREIN, ILHA"
"024","BALEARES, ILHAS"
"025","BANGLADESH"
"026","BARBADOS"
"027","BELGICA"
"028","BELIZE"
"029","BENIN"
"030","BERMUDAS"
"031","BIELORRUSSIA"
"032","BIRMANIA"
"033","BOLIVIA"
"034","BONAIRE"
"035","BOTSWANA"
"036","BRUNEI"
"037","BULGARIA"
"038","BURUNDI"
"039","BURKINA FASSO(ALTO VOLTA)"
"040","BUTAO"
"041","CABO VERDE"
"042","CAICOS, ILHA"
"043","CAMEROON"
"044","CAMBOJA"
"044","LAOS"
"045","CANADA"
"046","CANARIAS"
"047","CAROLINAS, ILHAS"
"048","CASAQUISTAO"
"049","CAYMAN, ILHAS"
"050","CEUTA E MELILLA"
"051","CHADE"
