"DESCRICAO","CAUSAS"
"001  COLERA","001"
"002  FEBRES TIFOIDE E PARATIFOIDE","002"
"003  OUTRAS INFECCOES POR SALMONELLA","003"
"004  SHIGUELOSE","004"
"005  OUT INTOXIC ALIMENTARES (BACTERIANAS)","005"
"006  AMEBIASE","006"
"007  OUT DOENCAS INTESTINAIS DEV PROTOZOARIOS","007"
"008  INFECCOES INTESTINAIS DEV OUT MICROORGAN","008"
"009  INFECCOES INTESTINAIS MAL DEFINIDAS","009"
"010  INFECCAO TUBERCULOSA PRIMARIA","010"
"011  TUBERCULOSE PULMONAR","011"
"012  OUTRAS TUBERCULOSES RESPIRATORIAS","012"
"013  TUBERCULOSE MENINGES E SIST NERV CENTRAL","013"
"014  TUBERCULOSE INTEST PERIT E GANG MESENTER","014"
"015  TUBERCULOSE OSSOS E ARTICULACOES","015"
"016  TUBERCULOSE APARELHO GENITURINARIO","016"
"017  TUBERCULOSE DE OUTROS ORGAOS","017"
"018  TUBERCULOSE MILIAR","018"
"020  PESTE","020"
"021  TULAREMIA","021"
"022  CARBUNCULO","022"
"023  BRUCELOSE","023"
"024  MORMO","024"
"025  MELIOIDOSE","025"
"026  FEBRE TRANSMITIDA POR MORDEDURA DE RATO","026"
"027  OUTRAS ZOONOSES CAUSADAS POR BACTERIAS","027"
"030  HANSENIASE","030"
"031  DOENCAS DEVIDAS A OUTRAS MICOBACTERIAS","031"
"032  DIFTERIA","032"
"033  COQUELUCHE","033"
"034  ANGINA ESTREPTOCOCICA E ESCARLATINA","034"
"035  ERISIPELAS","035"
"036  INFECCAO MENINGOCOCICA","036"
"037  TETANO (EXCETO NEONATAL - 771.3)","037"
"038  SEPTICEMIA","038"
"039  INFECCOES ACTINOMICOTICAS","039"
"040  OUTRAS DOENCAS BACTERIANAS","040"
"041  INFEC BACTER AFEC CLASS OUT PART E N LOC","041"
"045  POLIOMIELITE AGUDA","045"
"046  INFEC SIST NERV CENTRAL DEV VIRUS LENTOS","046"
"047  MENINGITE DEVIDA A ENTEROVIRUS","047"
"048  OUT DOEN SIST NERV CENTR DEV A ENTOROVIR","048"
"049  OUT VIROSES S NERV CENT N TRANSM ARTROP","049"
"050  VARIOLA","050"
"051  VACINA E PARAVACINIA","051"
"052  VARICELA","052"
"053  HERPES ZOSTER","053"
"054  HERPES SIMPLES","054"
"055  SARAMPO","055"
"056  RUBEOLA","056"
"057  OUTROS EXANTEMAS POR VIRUS","057"
