"DESCRICAO","CAUSAS"
" 1 DOENCAS INFECCIOSAS INTESTINAIS","001-009"
"  - COLERA","001"
"  - INFECCOES INTESTINAIS MAL DEFINIDAS","009"
"  - AS DEMAIS","002-008"
" 2 DOENCAS IMUNOPREVENIVEIS","032,033,037,045,055,138,771.3"
"  - DIFTERIA","032"
"  - COQUELUCHE","033"
"  - TETANO ACIDENTAL","037"
"  - TETANO NEONATAL","771.3"
"  - POLIOMIELITE AGUDA E EFEITOS TARDIOS","045,138"
"  - SARAMPO","055"
" 3 D INFEC REDUTIVEIS P DIAGNOST E TRATAM PRECOC","010-018,030,090-097,137"
"  - TUBERCULOSE E EFEITOS TARDIOS","010-018,137"
"  - HANSENIASE","030"
"  - SIFILIS","090-097"
" 4 DOEN INFEC REDUT SANEAM CONTR VETOR E OUT MEDID","020,060-061,070-071,084-086,100,120"
"  - PESTE","020"
"  - FEBRE AMARELA","060"
"  - DENGUE","061"
"  - HEPATITES VIRAIS","070"
"  - RAIVA","071"
"  - MALARIA","084"
"  - LEISHMANIOSE","085"
"  - TRIPANOSSOMIASE","086"
"  - LEPTOSPIROSE","100"
"  - ESQUITOSSOMOSE","120"
" 5 SEPTICEMIA","038"
" 6 MENINGITES (INCL MENINGOCOCIA EXCL TUBERCULOSA)","036,047,049,320,322"
" 7 NEOPLASMAS MALIGNOS","140-208"
"  - ESOFAGO","150"
"  - ESTOMAGO","151"
"  - COLON","153"
"  - LARINGE","161"
"  - TRAQUEIA BRONQUIOS E PULMAO","162"
"  - MAMA FEMININA","174"
"  - COLO DO UTERO","180"
"  - LEUCEMIA","204-208"
"  - OS DEMAIS NEOPLASMAS MALIGNOS","140-149,152,154-160,163-173,175-179,181-203"
" 8 NEOPL BENIG CARCIN COMPORT INCERTO E NAO ESPEC","210-239"
" 9 DIABETES MELLITUS","250"
"10 DEFICIENCIAS NUTRICIONAIS E ANEMIAS CARENCIAIS","260-269,280-281,285"
"  - DEFICIENCIAS NUTRICIONAIS","260-269"
"  - ANEMIAS CARENCIAIS","280,281,285"
"11 TRANSTORNOS MENTAIS","290-319"
"  - SINDROME DA DEPENDENCIA DO ALCOOL","303"
"  - OS DEMAIS TRANSTORNOS MENTAIS","290-302,304-319"
"12 EPILEPSIA","345"
"13 FEBRE REUMATICA E DOENCA REUMATICA DO CORACAO","390-398"
"14 DOENCA HIPERTENSIVA","401-405"
"15 DOENCA ISQUEMICA DO CORACAO","410-414"
"  - INFARTO AGUDO DO MIOCARDIO","410"
