"CODIGO","DESCRICAO"
"001","AIKANA (AIKANA)"
"002","AIKANA (CORUMBIARA)"
"003","AIKANA (HUARI)"
"004","AIKANA (KASUPA)"
"005","AIKANA (MASAKA)"
"006","AIKANA (MUNDE)"
"007","AIKANA (TUBARAO)"
"008","AIKANA AIKANA"
"009","AIKANA MASSAKA"
"010","AIKANA TUBARAO"
"011","ARAPASO"
"012","ARARA DO ARIPUANA"
"013","ARARA SHAWANAWA"
"014","ARARA SHAWANAWA"
"015","ARARA UKARAGMA"
"016","ARARA UKARAGMA"
"017","ARAWA:BANAVA-YAFI"
"018","ARAWA:DENI"
"019","ARAWA:JARAWARA"
"020","ARAWA:KANAMANTI"
"021","ARAWA:KULINA"
"022","ARAWA:KULINA MADJA"
"023","ARAWA:KULINA PANO"
"024","ARAWA:PAUMARI"
"025","ARAWA:YAMAMADI (JAMAMADI)"
"026","ARAWA:ZURUAHA"
"027","ARIKAPU"
"028","ARIKEN:KARITIANA"
"029","ARUAK:APURINA (IPURINA)"
"030","ARUAK:BANIWA"
"031","ARUAK:BANIWA DO ICANA"
"032","ARUAK:BARE"
"033","ARUAK:KAMPA"
"034","ARUAK:MANDAWAKA"
"035","ARUAK:MEHINAU"
"036","ARUAK:PALIKUR"
"037","ARUAK:PARESI"
"038","ARUAK:PARESI (HALITI)"
"039","ARUAK:PIRO:MANITENERI"
"040","ARUAK:PIRO:MAXINERI"
"041","ARUAK:SALUMA"
"042","ARUAK:SALUMA ENAWENE-NAWE"
"043","ARUAK:TAR.YURUPARI-TAPUYA"
"044","ARUAK:TARIANA"
"045","ARUAK:TARIANO (TALIASERI"
"046","ARUAK:TERENA (TERENO)"
"047","ARUAK:WAPIXANA"
"048","ARUAK:WAREKENA(WEREKENA)"
"049","ARUAK:WAURA"
"050","ARUAK:YABAANA"
"051","ARUAK:YAWALAPITI"
